RX 0000155 SFF 000004D2 8 HEX   AA  01  33  DD  00  00  00  00 1461164433 06.04.2023 12:45:56.068 0031025285 3136600640
RX 0000156 SFF 000004D2 8 HEX   AA  01  33  DD  00  00  00  00 1461166407 06.04.2023 12:45:56.070 0031025285 3136620640
RX 0000157 SFF 000004D2 8 HEX   AA  01  33  DD  00  00  00  00 1461168400 06.04.2023 12:45:56.072 0031025285 3136640640
RX 0000158 SFF 000004D2 8 HEX   AA  01  33  DD  00  00  00  00 1461170411 06.04.2023 12:45:56.074 0031025285 3136660640
RX 0000159 SFF 000004D2 8 HEX   AA  01  33  DD  00  00  00  00 1461172404 06.04.2023 12:45:56.076 0031025285 3136680640
RX 0000160 SFF 000004D2 8 HEX   AA  01  33  DD  00  00  00  00 1461174433 06.04.2023 12:45:56.078 0031025285 3136700640
RX 0000161 SFF 000004D2 8 HEX   AA  01  33  DD  00  00  00  00 1461176389 06.04.2023 12:45:56.080 0031025285 3136720640
RX 0000162 SFF 000004D2 8 HEX   AA  01  33  DD  00  00  00  00 1461178419 06.04.2023 12:45:56.082 0031025285 3136740640
RX 0000163 SFF 000004D2 8 HEX   AA  01  33  DD  00  00  00  00 1461180430 06.04.2023 12:45:56.084 0031025285 3136760640
RX 0000164 SFF 000004D2 8 HEX   AA  01  33  DD  00  00  00  00 1461182422 06.04.2023 12:45:56.086 0031025285 3136780640
RX 0000165 SFF 000004D2 8 HEX   AA  01  33  DD  00  00  00  00 1461184434 06.04.2023 12:45:56.088 0031025285 3136800640
RX 0000166 SFF 000004D2 8 HEX   AA  01  33  DD  00  00  00  00 1461186463 06.04.2023 12:45:56.090 0031025285 3136820640
RX 0000167 SFF 000004D2 8 HEX   AA  01  33  DD  00  00  00  00 1461188401 06.04.2023 12:45:56.092 0031025285 3136840640
RX 0000168 SFF 000004D2 8 HEX   AA  01  33  DD  00  00  00  00 1461190412 06.04.2023 12:45:56.094 0031025285 3136860640
RX 0000169 SFF 000004D2 8 HEX   AA  01  33  DD  00  00  00  00 1461192423 06.04.2023 12:45:56.096 0031025285 3136880640
RX 0000170 SFF 000004D2 8 HEX   AA  01  33  DD  00  00  00  00 1461194416 06.04.2023 12:45:56.098 0031025285 3136900640
RX 0000171 SFF 000004D2 8 HEX   AA  01  33  DD  00  00  00  00 1461196408 06.04.2023 12:45:56.100 0031025285 3136920640
RX 0000172 SFF 000004D2 8 HEX   AA  01  33  DD  00  00  00  00 1461198438 06.04.2023 12:45:56.102 0031025285 3136940640
RX 0000173 SFF 000004D2 8 HEX   AA  01  33  DD  00  00  00  00 1461200394 06.04.2023 12:45:56.104 0031025285 3136960640
RX 0000174 SFF 000004D2 8 HEX   AA  01  33  DD  00  00  00  00 1461202423 06.04.2023 12:45:56.106 0031025285 3136980640
RX 0000175 SFF 000004D2 8 HEX   AA  01  33  DD  00  00  00  00 1461204416 06.04.2023 12:45:56.108 0031025285 3137000640
RX 0000176 SFF 000004D2 8 HEX   AA  01  33  DD  00  00  00  00 1461206408 06.04.2023 12:45:56.110 0031025285 3137020640
RX 0000177 SFF 000004D2 8 HEX   AA  01  33  DD  00  00  00  00 1461208420 06.04.2023 12:45:56.112 0031025285 3137040640
RX 0000178 SFF 000004D2 8 HEX   AA  01  33  DD  00  00  00  00 1461210412 06.04.2023 12:45:56.114 0031025285 3137060640
RX 0000179 SFF 000004D2 8 HEX   AA  01  33  DD  00  00  00  00 1461212423 06.04.2023 12:45:56.116 0031025285 3137080640
RX 0000180 SFF 000004D2 8 HEX   AA  01  33  DD  00  00  00  00 1461214398 06.04.2023 12:45:56.118 0031025285 3137100640
RX 0000181 SFF 000004D2 8 HEX   AA  01  33  DD  00  00  00  00 1461216427 06.04.2023 12:45:56.120 0031025285 3137120640
RX 0000182 SFF 000004D2 8 HEX   AA  01  33  DD  00  00  00  00 1461218420 06.04.2023 12:45:56.122 0031025285 3137140640
RX 0000183 SFF 000004D2 8 HEX   AA  01  33  DD  00  00  00  00 1461220431 06.04.2023 12:45:56.124 0031025285 3137160640
RX 0000184 SFF 000004D2 8 HEX   AA  01  33  DD  00  00  00  00 1461222405 06.04.2023 12:45:56.126 0031025285 3137180640
RX 0000185 SFF 000004D2 8 HEX   AA  01  33  DD  00  00  00  00 1461224416 06.04.2023 12:45:56.128 0031025285 3137200640
RX 0000186 SFF 000004D2 8 HEX   AA  01  33  DD  00  00  00  00 1461226428 06.04.2023 12:45:56.130 0031025285 3137220640
RX 0000187 SFF 000004D2 8 HEX   AA  01  33  DD  00  00  00  00 1461228420 06.04.2023 12:45:56.132 0031025285 3137240640
RX 0000188 SFF 000004D2 8 HEX   AA  01  33  DD  00  00  00  00 1461230395 06.04.2023 12:45:56.134 0031025285 3137260640
RX 0000189 SFF 000004D2 8 HEX   AA  01  33  DD  00  00  00  00 1461232406 06.04.2023 12:45:56.136 0031025285 3137280640
RX 0000190 SFF 000004D2 8 HEX   AA  01  33  DD  00  00  00  00 1461234417 06.04.2023 12:45:56.138 0031025285 3137300640
RX 0000191 SFF 000004D2 8 HEX   AA  01  33  DD  00  00  00  00 1461236410 06.04.2023 12:45:56.140 0031025285 3137320640
RX 0000192 SFF 000004D2 8 HEX   AA  01  33  DD  00  00  00  00 1461238421 06.04.2023 12:45:56.142 0031025285 3137340640
RX 0000193 SFF 000004D2 8 HEX   AA  01  33  DD  00  00  00  00 1461240432 06.04.2023 12:45:56.144 0031025285 3137360640
RX 0000194 SFF 000004D2 8 HEX   AA  01  33  DD  00  00  00  00 1461242443 06.04.2023 12:45:56.146 0031025285 3137380640
RX 0000195 SFF 000004D2 8 HEX   AA  01  33  DD  00  00  00  00 1461244436 06.04.2023 12:45:56.148 0031025285 3137400640
RX 0000196 SFF 000004D2 8 HEX   AA  01  33  DD  00  00  00  00 1461246465 06.04.2023 12:45:56.150 0031025285 3137420640
RX 0000197 SFF 000004D2 8 HEX   AA  01  33  DD  00  00  00  00 1461248439 06.04.2023 12:45:56.152 0031025285 3137440640
RX 0000198 SFF 000004D2 8 HEX   AA  01  33  DD  00  00  00  00 1461250414 06.04.2023 12:45:56.154 0031025285 3137460640
RX 0000199 SFF 000004D2 8 HEX   AA  01  33  DD  00  00  00  00 1461252425 06.04.2023 12:45:56.156 0031025285 3137480640
